"days","mean_1","std_1","mean_2","std_2","mean_3","std_3","mean_4","std_4","mean_5","std_5","mean_6","std_6"
7,51.79,20.21,33.85,17.56,48.81,19.29,46.07,20.44,30.99,17.75,44.41,13.04
14,66.19,27.35,60.32,15.22,69.04,35.96,51.23,27.33,34.64,25.40,60.14,16.15
23,100.84,48.55,73.69,26.72,126.05,42.18,94.35,72.08,61.91,33.89,135.85,62.74
29,205.29,85.58,148.26,54.16,241.48,111.85,284.59,129.68,134.99,65.11,207.22,91.55
34,334.88,106.08,241.46,90.64,393.01,100.61,495.51,209.63,257.32,123.48,303.39,117.38
35,327.55,98.02,253.25,91.93,424.15,99.11,493.29,208.72,238.00,109.67,297.32,134.83
36,372.13,124.06,291.30,137.01,387.86,65.67,495.42,224.98,227.29,135.08,268.52,118.93
37,363.14,170.50,287.25,127.89,392.03,80.06,527.12,232.59,207.24,129.63,241.84,85.53
40,400.36,119.16,308.06,160.04,326.11,96.22,538.87,204.49,163.55,84.69,140.07,43.16
42,450.91,221.79,369.38,175.77,337.42,134.63,602.62,207.90,148.91,78.78,131.73,40.31
44,465.51,179.67,395.23,182.30,309.13,142.16,551.35,189.70,141.74,79.90,98.76,41.35
47,483.39,182.00,497.79,236.40,308.30,156.32,651.08,220.07,137.84,71.89,81.14,40.78
49,589.67,288.69,574.88,257.73,331.70,181.88,791.66,303.31,122.13,88.98,71.51,41.88
51,689.38,221.18,599.99,311.14,318.42,188.58,821.88,288.89,91.34,78.96,70.43,63.39
54,749.47,346.45,655.05,314.64,330.26,189.56,893.61,340.50,59.33,78.71,18.53,37.05
56,875.36,463.20,846.18,387.37,324.89,182.62,1315.13,185.20,69.93,90.59,14.69,29.37
61,1194.46,664.49,1165.65,462.57,362.43,264.85,1681.84,251.88,47.73,58.84,17.41,34.83
63,1218.30,577.52,1043.77,782.41,385.02,273.41,1917.22,299.99,70.08,65.56,16.75,33.49
68,1640.11,788.76,1238.73,860.63,382.49,373.35,2571.60,414.17,71.78,61.66,15.52,31.05
