diam, length            
15.5,  344.27
13.5,  109.66
16.5,   90.14
13.8,   84.08
12.3,   39.12
11.5,  101.12
10.0,   66.13
21.2,   78.85
17.4,  202.09
15.5,   83.43
 8.7,   93.48
 8.6,   83.53
 7.8,  104.92
16.2,   35.51
 9.9,   30.00
 8.6,  123.37
 8.8,   94.22
 9.1,   32.20
 8.0,   28.37
 8.4,   34.15
12.0,  210.07
13.5,  150.96
16.7,   50.33
14.0,   29.82
10.1,   41.53
 7.8,   47.07
10.9,   65.83
11.0,   41.00
 6.1,   34.77
 6.2,   55.29
 5.5,   18.57
 5.5,   16.03
 6.0,   63.25
 7.8,   76.49
 8.7,   28.02
10.7,   85.64
13.3,   53.16
 8.2,   70.28
11.7,   26.74
 9.1,   37.48
14.7,   30.00
11.9,   26.17
10.3,   75.48
11.6,   27.87
10.7,   29.27
10.5,   57.59
 7.4,   46.63
 7.5,  167.22
 7.6,   50.99
 8.4,   22.14
 7.0,   31.62
16.3,   79.63
 9.1,   66.29
 7.7,  169.89
10.6,   34.93
10.9,   48.71
 6.7,   39.46
 5.8,   58.31
 6.1,   42.86
 7.3,  115.32
 8.5,   60.44
 7.9,   74.86
 7.1,   32.88
 6.4,   45.65
 6.4,   75.24
 6.4,   70.09
 7.0,   51.87
 8.2,   80.80
 8.2,   33.97
 8.2,   38.95
 7.8,   37.22
 8.0,   36.06
 8.0,   72.11
 5.8,   48.70
 5.8,   51.62
 5.8,   33.73
 4.7,   62.58
 7.1,  107.30
 7.1,  173.23
15.1,   22.38
15.1,   25.08
 7.1,   26.42
 6.6,   40.61
11.6,   31.87
 4.8,  103.10
 6.6,  150.39
 4.7,   53.81
 9.7,   55.73
10.2,   51.70
6.7,  116.86
7.1,  116.64
10.5,   80.59
9.5,   44.19
28.2,  125.51
33.2,  225.58
33.2,  166.17
6.2,  126.94
7.3,   50.45
6.6,  169.90
6.4,   23.69
5.3,   31.76
6.0,   31.45
6.3,   36.73
5.4,   89.49
